Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00  923481/923483      MkLiuParticle::GetSmoothLen() [74]
                0.00    0.00  201120/201120      MkLiuBoundary::GetSmoothLen() [80]
                0.00    0.00  201120/201120      min(double, double) [79]
-----------------------------------------------
                0.01    0.00 6888528/137135148     MkLiuSPH::Art_Visc() [11]
                0.28    0.00 130246620/137135148     MkLiuSPH::Int_Force() [8]
[16]     0.7    0.29    0.00 137135148         MkLiuPair::DWDX(int) [16]
-----------------------------------------------
                0.00    0.00       6/4542680     MkLiuSPH::Calc_Norm() [52]
                0.01    0.00  201120/4542680     MkLiuSPH::Direct_Bnd_Find() [13]
                0.19    0.00 4341554/4542680     MkLiuSPH::Direct_Find() [4]
[17]     0.5    0.20    0.00 4542680         MkLiuKernel::dWdY(double, double, double, double) [17]
-----------------------------------------------
                0.00    0.00       6/4542680     MkLiuSPH::Calc_Norm() [52]
                0.01    0.00  201120/4542680     MkLiuSPH::Direct_Bnd_Find() [13]
                0.18    0.00 4341554/4542680     MkLiuSPH::Direct_Find() [4]
[18]     0.5    0.19    0.00 4542680         MkLiuKernel::dWdZ(double, double, double, double) [18]
-----------------------------------------------
                0.00    0.00  201120/9070572     MkLiuSPH::Art_Bnd_Repel() [36]
                0.06    0.00 2889444/9070572     MkLiuSPH::Pair_Bnd_Count() [21]
                0.06    0.00 2889444/9070572     MkLiuSPH::Direct_Bnd_Find() [13]
                0.06    0.00 3090564/9070572     MkPlane::GetNearestPoint(MkPoint&) [29]
[19]     0.4    0.18    0.00 9070572         MkPlane::GetDistance(MkPoint&) [19]
-----------------------------------------------
                0.00    0.00       2/5265044     MkLiuSPH::Calc_Bnd_Norm() [53]
                0.00    0.00       7/5265044     MkLiuSPH::Calc_Norm() [52]
                0.01    0.00  201120/5265044     MkLiuSPH::Direct_Bnd_Find() [13]
                0.02    0.00  722361/5265044     MkLiuSPH::Norm_Bnd_Density() [15]
                0.13    0.00 4341554/5265044     MkLiuSPH::Direct_Find() [4]
[20]     0.4    0.15    0.00 5265044         MkLiuKernel::W(double) [20]
-----------------------------------------------
                0.05    0.09    2001/2001        MkLiuSPH::Direct_Bnd_Find() [13]
[21]     0.3    0.05    0.09    2001         MkLiuSPH::Pair_Bnd_Count() [21]
                0.06    0.00 2889444/9070572     MkPlane::GetDistance(MkPoint&) [19]
                0.02    0.00 5778888/15436969     MkLiuBoundarys::operator[](int) [34]
                0.01    0.00 5778888/3307266707     MkLiuParticles::operator[](int) [6]
                0.00    0.00 3611805/7233615     MkLiuBoundarys::GetSize() [72]
-----------------------------------------------
                0.00    0.00       6/4542680     MkLiuSPH::Calc_Norm() [52]
                0.01    0.00  201120/4542680     MkLiuSPH::Direct_Bnd_Find() [13]
                0.12    0.00 4341554/4542680     MkLiuSPH::Direct_Find() [4]
[22]     0.3    0.13    0.00 4542680         MkLiuKernel::dWdX(double, double, double, double) [22]
-----------------------------------------------
                0.00    0.11    2001/2001        display() [24]
[23]     0.3    0.00    0.11    2001         MkLiuSPH::Draw() [23]
                0.04    0.06    2001/2001        MkLiuParticles::Draw() [26]
                0.00    0.01    2001/2001        MkLiuBoundarys::Draw() [47]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.3    0.00    0.11                 display() [24]
                0.00    0.11    2001/2001        MkLiuSPH::Draw() [23]
-----------------------------------------------
                0.00    0.00       1/4004        MkLiuSPH::Calc_Bnd_Norm() [53]
                0.00    0.00       1/4004        MkLiuSPH::Calc_Norm() [52]
                0.01    0.04    2001/4004        MkLiuSPH::Direct_Find() [4]
                0.01    0.04    2001/4004        MkLiuSPH::Direct_Bnd_Find() [13]
[25]     0.3    0.02    0.09    4004         MkLiuPairs::Initialize(int) [25]
                0.01    0.08 4546683/4546683     MkLiuPair::MkLiuPair() [30]
                0.00    0.00    4004/4004        MkLiuPairs::Clear() [91]
-----------------------------------------------
                0.04    0.06    2001/2001        MkLiuSPH::Draw() [23]
[26]     0.3    0.04    0.06    2001         MkLiuParticles::Draw() [26]
                0.03    0.03  722361/722361      MkLiuParticle::Draw() [33]
                0.00    0.00  722361/3307266707     MkLiuParticles::operator[](int) [6]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.2    0.10    0.00                 __fpclassify [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.2    0.10    0.00                 ldexp [28]
-----------------------------------------------
